record_order,rank,team_name,team_index,score,avg_accuracy_pct,avg_f1_pct,parse_rate_pct,avg_cost_usd,cheatsheet_size_kb
33,31,LT Game Limited,EQT01-T00435,3246,60.1,46.5,100.0,0.00094,4.31
34,31,Kendon Shirley,EQT01-T00542,3246,60.1,45.1,99.1,0.00064,8.07
35,33,Jialiang Tang,EQT01-T00181,3222,59.7,48.4,99.9,0.00069,5.56
36,34,Jing Guo,EQT01-T00480,3219,59.6,48.5,100.0,0.00068,5.15
37,35,nightwatch,EQT01-T00883,3216,59.6,46.5,99.9,0.00068,9.98
38,36,Long Nguyen Chi,EQT01-T00745,3211,59.5,40.9,100.0,0.0011,2.29
39,37,Banri Yanahama,EQT01-T00470,3210,59.4,43.6,100.0,0.00067,2.14
40,38,Brian Shi,EQT01-T00808,3205,59.4,50.0,98.3,0.00071,2.74
41,39,Sirawit Pongnakintr,EQT01-T00086,3204,59.3,48.0,100.0,0.00069,5.15
42,40,Stuff,EQT01-T00286,3203,59.3,41.6,99.7,0.00094,3.5
43,40,SparkleInfinity,EQT01-T00464,3203,59.3,48.2,99.9,0.00068,5.15
44,42,Kevin Ren,EQT01-T00788,3201,59.3,47.8,100.0,0.00051,5.96
45,43,Amherst College,EQT01-T00486,3199,59.2,48.5,99.7,0.00109,6.3
46,43,hks,EQT01-T00892,3199,59.2,48.9,99.6,0.00036,3.77
47,45,GS,EQT01-T00956,3198,59.2,55.8,99.7,0.00052,3.05
48,46,ITML_Yonsei,EQT01-T00559,3197,59.2,41.4,99.3,0.00114,6.56
49,46,Da Best Cheaters,EQT01-T00750,3197,59.2,67.1,100.0,0.00035,5.45
50,48,Yi Luo,EQT01-T00018,3194,59.2,48.0,99.8,0.00069,9.99
51,48,K-Arts Alumni (Lost),EQT01-T00074,3194,59.2,52.6,100.0,0.00037,6.5
52,50,Cristobal Muñoz Rojas,EQT01-T00263,3192,59.1,39.0,99.9,0.00057,7.74
53,51,Nguyen Duc Tam,EQT01-T00365,3187,59.0,49.6,94.5,0.00097,5.74
54,51,David,EQT01-T00639,3187,59.0,32.3,98.0,0.0004,6.94
55,53,GodsGoofiestClowns,EQT01-T00249,3185,59.0,41.8,99.2,0.00081,4.84
56,53,Hugo O'Connor,EQT01-T00318,3185,59.0,46.1,100.0,0.00048,6.92
57,55,举一反三,EQT01-T00279,3183,58.9,52.4,99.9,0.00067,5.15
58,55,Aakash Gurung,EQT01-T00862,3183,58.9,46.8,95.2,0.00102,9.79
59,57,Jethro Tan,EQT01-T00548,3176,58.8,46.5,99.9,0.00044,9.76
60,57,Luiz Ribeiro,EQT01-T00932,3176,58.8,43.7,100.0,0.00097,9.61
61,59,Non-Associative MAGMA,EQT01-T00370,3172,58.7,46.5,99.9,0.00031,1.93
62,60,FM,EQT01-T00628,3171,58.7,42.6,100.0,0.00115,9.89
63,60,Dex,EQT01-T00754,3171,58.7,66.5,100.0,0.00039,5.31
64,62,Ryan DV,EQT01-T00092,3166,58.6,46.0,100.0,0.00084,3.84
65,62,Dima Kirichenko,EQT01-T00289,3166,58.6,46.2,99.9,0.00088,3.44
66,62,Diego Esteban,EQT01-T00313,3166,58.6,47.4,99.8,0.00056,3.56
67,65,Yelarys Yertaiuly,EQT01-T00461,3162,58.6,44.3,99.6,0.00069,6.01
68,66,HARD AI,EQT01-T00130,3158,58.5,34.7,99.4,0.0009,9.86
69,67,Saturday,EQT01-T00562,3154,58.4,59.4,96.7,0.00052,4.25
70,67,Aditya Verma,EQT01-T00925,3154,58.4,49.1,100.0,0.00038,4.21
71,69,Antonio Rivera,EQT01-T00749,3153,58.4,47.7,100.0,0.00079,5.79
72,70,Mike Lou,EQT01-T00472,3151,58.4,49.0,90.6,0.00108,9.69
73,70,Mathematics,EQT01-T00846,3151,58.4,45.3,100.0,0.00098,8.06
74,72,rendezvous hash,EQT01-T00765,3150,58.3,45.0,98.9,0.00097,4.38
75,73,Mo-Tse,EQT01-T00928,3146,58.3,66.1,99.1,0.00054,4.3
76,74,bernardorivas,EQT01-T00210,3141,58.2,42.4,99.6,0.00102,9.61
77,75,Math Distillation Club,EQT01-T00593,3140,58.1,37.3,99.8,0.00053,9.99
78,76,Nicolas PETITMANGIN,EQT01-T00034,3139,58.1,49.0,99.1,0.00053,8.94
79,77,Jack Myrick,EQT01-T00560,3137,58.1,39.3,100.0,0.00098,5.59
80,77,Lealon G.,EQT01-T00822,3137,58.1,68.2,100.0,0.00034,4.05
81,79,Krishiv Rupesh Kothari,EQT01-T00555,3136,58.1,46.9,99.9,0.00063,5.08
82,80,BANANASS,EQT01-T00867,3131,58.0,43.4,99.6,0.00039,2.01
83,81,张雨阳,EQT01-T00007,3128,57.9,45.3,100.0,0.00076,8.59
84,82,Paul Buchanan,EQT01-T00038,3126,57.9,44.6,99.7,0.00069,8.12
85,83,Aarush Sinha,EQT01-T00236,3123,57.8,42.7,99.9,0.00102,3.17
86,84,Guangyu Song,EQT01-T00141,3121,57.8,46.6,99.8,0.00066,5.08
87,85,Langqi Zhao,EQT01-T00687,3117,57.7,45.0,100.0,0.00042,8.34
88,85,Debtirtha Saha,EQT01-T00764,3117,57.7,52.4,100.0,0.00066,8.71
89,87,Asvitha Sathyaraj,EQT01-T00164,3115,57.7,44.4,99.7,0.00056,8.83
90,87,Chris Dinh,EQT01-T00828,3115,57.7,44.4,100.0,0.0007,6.2
91,89,博文 Nathan 姚 Yao,EQT01-T00610,3111,57.6,42.1,100.0,0.00086,4.73
92,90,Fanjin Zhang,EQT01-T00815,3104,57.5,42.7,100.0,0.00087,3.45
93,91,Daniel Jin,EQT01-T00492,3100,57.4,45.5,98.1,0.00108,0.38
94,92,Curly-Howard-Chungus Correspondence | Lamport-Cabot-Codd-Backus-Naur Form,EQT01-T00731,3099,57.4,31.4,100.0,0.00068,9.39
95,93,HJS,EQT01-T00254,3096,57.3,50.0,99.2,0.00092,9.09
96,94,François Pacull,EQT01-T00498,3095,57.3,45.6,100.0,0.00063,9.74
97,95,S. Gangloff,EQT01-T00209,3090,57.2,45.0,100.0,0.00081,2.78
98,96,Brain,EQT01-T00084,3087,57.2,42.0,100.0,0.00092,2.77
99,96,Robert George,EQT01-T00440,3087,57.2,38.0,99.9,0.00037,7.34
100,96,Less Is Lei,EQT01-T00691,3087,57.2,43.8,100.0,0.00098,3.39
101,99,Hanson Wen,EQT01-T00929,3082,57.1,51.6,100.0,0.00064,9.95
102,100,Ko Sung Min,EQT01-T00205,3079,57.0,37.9,100.0,0.00089,5.46
103,100,Levi Hernandez,EQT01-T00761,3079,57.0,44.8,100.0,0.00079,9.32
104,102,ebarschkis,EQT01-T00025,3078,57.0,45.7,99.7,0.00102,9.21
105,103,Maximilian Schulz,EQT01-T00166,3074,56.9,44.1,99.9,0.00074,8.38
106,104,sdaa,EQT01-T00785,3073,56.9,60.1,100.0,0.0005,6.32
107,104,shanghar,EQT01-T00958,3073,56.9,45.1,100.0,0.00073,2.25
108,106,HEU-Fields AI Lab,EQT01-T00122,3071,56.9,46.1,99.6,0.00055,4.02
109,106,∆,EQT01-T00455,3071,56.9,57.7,99.9,0.00026,2.17
110,108,Daniel Tcheurekdjian,EQT01-T00369,3070,56.9,41.2,100.0,0.00032,7.96
111,108,sdsd fengfu,EQT01-T00735,3070,56.9,31.8,99.9,0.0003,2.28
112,110,Eduardo Gomes Bonilha,EQT01-T00710,3069,56.8,43.4,100.0,0.00067,0.78
113,111,Gioaba Cipri,EQT01-T00670,3068,56.8,45.4,99.3,0.00046,2.62
114,112,Tommy Li,EQT01-T00311,3066,56.8,50.4,99.9,0.00065,9.94
115,112,Jonathan Liu,EQT01-T00626,3066,56.8,39.9,100.0,0.00061,2.83
116,112,Daniel Colomer,EQT01-T00713,3066,56.8,50.7,99.8,0.00041,5.22
117,115,Thomas Marchand,EQT01-T00585,3064,56.7,30.4,99.4,0.00035,1.25
118,116,Prabhat Ravi,EQT01-T00035,3063,56.7,21.3,99.9,0.00025,7.78
119,117,RSL,EQT01-T00709,3061,56.7,41.0,99.8,0.00081,9.9
120,118,Coronavirus,EQT01-T00496,3060,56.7,35.5,100.0,0.00058,0.57
121,119,PoohBruin,EQT01-T00903,3056,56.6,64.0,99.9,0.0004,3.61
122,120,Jason Lo,EQT01-T00781,3055,56.6,33.2,99.8,0.00052,8.87
123,121,Hao Oy,EQT01-T00287,3054,56.6,53.2,99.9,0.00052,3.3
124,122,Providentialscience,EQT01-T00300,3053,56.5,45.6,99.9,0.00045,8.22
125,122,Deo D,EQT01-T00408,3053,56.5,43.0,99.9,0.00085,5.75
126,122,G 1,EQT01-T00732,3053,56.5,42.2,100.0,0.00065,0.52
127,125,Bot Behavior,EQT01-T00922,3051,56.5,42.9,100.0,0.00084,9.63
128,126,Herbert Potrykus,EQT01-T00290,3050,56.5,36.0,98.9,0.00044,8.45
129,127,Roberto Spinelli Filho,EQT01-T00491,3049,56.5,40.9,100.0,0.0007,2.79
130,127,Benjamin Covarrubias,EQT01-T00645,3049,56.5,43.7,99.9,0.00089,6.53
131,129,Jackson Kwok,EQT01-T00434,3045,56.4,38.7,100.0,0.00057,7.92
132,129,JackZhou,EQT01-T00471,3045,56.4,46.8,100.0,0.00051,4.49
133,131,Pink Iguana,EQT01-T00663,3044,56.4,41.8,99.9,0.00056,9.55
134,131,Tiffany,EQT01-T00748,3044,56.4,47.4,100.0,0.00053,6.35
135,133,Sanjam Wadhwa,EQT01-T00429,3043,56.4,43.3,100.0,0.00095,2.82
136,133,brenda-zyc,EQT01-T00640,3043,56.4,27.8,99.9,0.0003,4.35
137,135,William Cheung,EQT01-T00912,3042,56.3,43.4,100.0,0.00067,5.45
138,136,Jaeyeon Kim,EQT01-T00178,3040,56.3,42.0,99.6,0.00065,0.97
139,137,Weihang Ding,EQT01-T00478,3039,56.3,56.4,99.3,0.0005,7.45
140,138,yf Z,EQT01-T00163,3038,56.3,43.8,100.0,0.00065,0.83
141,139,mysticflounder,EQT01-T00601,3035,56.2,43.8,99.9,0.00062,9.05
142,139,Hy Lam,EQT01-T00824,3035,56.2,43.6,100.0,0.00072,6.41
143,141,Ken,EQT01-T00858,3034,56.2,47.2,100.0,0.00053,6.35
144,142,Carto Wong,EQT01-T00699,3033,56.2,67.0,100.0,0.00028,5.26
145,143,dimlanier,EQT01-T00488,3032,56.1,40.4,100.0,0.00054,0.18
146,144,Aaryan Bastakoti,EQT01-T00349,3031,56.1,43.7,100.0,0.00047,2.76
147,144,Matías Uncal Bressi,EQT01-T00547,3031,56.1,44.7,100.0,0.00063,1.97
148,146,IITD Math Distill,EQT01-T00207,3030,56.1,42.1,99.6,0.00059,4.46
149,146,DreW,EQT01-T00646,3030,56.1,45.8,98.7,0.00081,8.54
150,148,Teodora Ana BOCUȚ,EQT01-T00927,3029,56.1,41.0,100.0,0.00036,5.17
151,149,TwoQuestions,EQT01-T00469,3025,56.0,36.1,100.0,0.00052,4.19
152,150,Undefined Behavior,EQT01-T00241,3017,55.9,61.5,99.6,0.00061,5.31
153,150,Come On,EQT01-T00782,3017,55.9,41.9,99.7,0.00061,0.52
154,152,飞机爷爷,EQT01-T00944,3016,55.9,28.0,99.8,0.00024,3.93
155,153,Miguel,EQT01-T00065,3015,55.8,48.3,99.9,0.0004,1.11
156,153,douglass wang,EQT01-T00517,3015,55.8,44.5,100.0,0.00075,6.19
157,153,梓豪 刘,EQT01-T00881,3015,55.8,42.8,100.0,0.00033,5.13
158,156,Noether,EQT01-T00816,3012,55.8,40.1,100.0,0.00066,5.08
159,157,thisray,EQT01-T00267,3010,55.7,50.8,99.2,0.0007,9.19
160,158,Scrawl,EQT01-T00403,3008,55.7,45.2,99.8,0.00092,9.88
161,158,Johan,EQT01-T00666,3008,55.7,40.9,99.8,0.00036,0.45
162,160,Kieran V,EQT01-T00863,3007,55.7,40.4,99.7,0.00038,2.84
163,161,Ong See Hai,EQT01-T00397,3006,55.7,40.8,99.9,0.00063,9.99
164,162,Specter Labs,EQT01-T00090,3005,55.6,35.9,99.7,0.00052,3.54
165,163,Bryan Lee Shi Yang,EQT01-T00150,3004,55.6,43.1,99.7,0.00049,5.5
166,163,Farhad Mirzapour,EQT01-T00301,3004,55.6,41.1,100.0,0.00088,1.79
167,165,Judicaël Karol DOBOEVI,EQT01-T00410,3003,55.6,46.7,99.9,0.00057,5.24
168,166,Arjun Garg,EQT01-T00162,2997,55.5,57.5,99.7,0.00051,6.87
169,166,Vivek Pandey,EQT01-T00473,2997,55.5,45.2,99.9,0.00057,8.82
170,168,Alvan Arulandu,EQT01-T00536,2994,55.4,40.8,100.0,0.00071,0.3
171,169,KUO-TSAN HSU (Gordon),EQT01-T00054,2991,55.4,36.9,99.6,0.00072,3.18
172,169,Entropy,EQT01-T00773,2991,55.4,64.7,99.6,0.00055,4.15
173,171,Javier Ríos,EQT01-T00068,2989,55.4,37.1,100.0,0.00069,5.78
174,171,Bradly Deeley,EQT01-T00238,2989,55.4,56.6,99.7,0.00065,9.72
175,173,suii0x,EQT01-T00270,2986,55.3,34.9,99.1,0.00089,7.33
176,173,Jonathan Gabor,EQT01-T00678,2986,55.3,43.0,99.4,0.00055,0.46
177,175,Israel Cazares,EQT01-T00458,2983,55.2,42.5,100.0,0.00072,2.19
178,176,Francis Ibenagum,EQT01-T00148,2982,55.2,44.4,99.7,0.00064,3.85
179,177,Baiyue Wang,EQT01-T00783,2981,55.2,36.1,100.0,0.00061,9.08
180,178,First Saffty,EQT01-T00702,2979,55.2,36.5,100.0,0.00043,0.58
181,179,Divya Lunawat,EQT01-T00380,2974,55.1,40.1,99.9,0.00062,0.09
182,180,tamlhp,EQT01-T00939,2972,55.0,40.1,100.0,0.00046,9.98
183,181,Hari Krishna,EQT01-T00127,2967,54.9,21.6,99.3,0.00026,8.09
184,181,Kevin Hu,EQT01-T00757,2967,54.9,42.4,100.0,0.0005,0.19
185,183,Safetying Firsting,EQT01-T00758,2964,54.9,38.7,100.0,0.00048,0.25
186,184,pinnerwt,EQT01-T00422,2963,54.9,48.5,100.0,0.00035,2.88
187,184,Fast Net,EQT01-T00910,2963,54.9,37.7,100.0,0.00036,0.42
188,186,Mikhled,EQT01-T00766,2962,54.9,28.3,98.3,0.00064,2.94
189,187,Dyllan Daker,EQT01-T00032,2960,54.8,37.5,99.9,0.0004,0.31
190,188,Krishiv Kothari,EQT01-T00582,2959,54.8,68.0,100.0,0.00037,2.17
191,189,Nasir Hussain,EQT01-T00581,2957,54.8,44.2,99.9,0.00062,7.58
192,190,Dylan Alezra,EQT01-T00738,2956,54.7,40.0,100.0,0.00049,3.39
193,191,Sangjun Park,EQT01-T00508,2955,54.7,40.9,100.0,0.00095,9.53
194,192,:),EQT01-T00173,2953,54.7,45.6,100.0,0.00037,5.96
195,193,Safety First,EQT01-T00505,2949,54.6,34.3,100.0,0.00038,0.45
196,194,Charles Prabakar,EQT01-T00257,2948,54.6,31.9,100.0,0.00064,9.46
197,195,Ad Astra,EQT01-T00152,2946,54.6,43.9,98.8,0.00074,9.98
198,196,Haiyi Hu,EQT01-T00346,2945,54.5,43.1,99.9,0.00065,2.77
199,197,busy-beaver-oracle,EQT01-T00059,2943,54.5,40.8,98.3,0.00072,8.13
200,198,Bogdan Coanda,EQT01-T00689,2942,54.5,38.5,100.0,0.00047,0.08
201,199,Luiza,EQT01-T00109,2941,54.5,58.6,99.7,0.00043,7.9
202,200,Peilun Dai,EQT01-T00474,2940,54.4,36.9,100.0,0.00051,5.84
203,201,Mady356,EQT01-T00172,2939,54.4,27.9,99.3,0.0004,5.55
204,201,Sea,EQT01-T00187,2939,54.4,44.2,99.7,0.00033,6.89
205,203,Shangus,EQT01-T00433,2938,54.4,43.9,100.0,0.00057,3.53
206,204,Piotr Kuterba,EQT01-T00183,2935,54.4,20.5,99.7,0.00012,3.45
207,204,MathBot,EQT01-T00933,2935,54.4,39.1,100.0,0.00052,3.78
208,206,Miguel,EQT01-T00693,2933,54.3,48.0,100.0,0.00038,1.11
209,206,Anionix,EQT01-T00889,2933,54.3,28.2,100.0,0.0002,6.34
210,208,Louis Germain,EQT01-T00037,2927,54.2,25.1,100.0,0.00049,9.7
211,209,110,EQT01-T00361,2926,54.2,41.4,100.0,0.00021,3.08
212,209,Oshogwhe samuel oshoke,EQT01-T00551,2926,54.2,39.6,100.0,0.00048,0.0
213,211,Harry Fan,EQT01-T00729,2925,54.2,36.7,100.0,0.0006,7.02
214,212,Dinh Pham,EQT01-T00388,2924,54.1,27.1,100.0,0.00031,7.96
215,213,Fero Baskoro Ardi,EQT01-T00751,2923,54.1,33.4,100.0,0.00036,1.82
216,214,terrence chen,EQT01-T00242,2922,54.1,40.5,99.7,0.00062,0.02
217,215,Peter Nicholas,EQT01-T00179,2921,54.1,39.2,99.9,0.00045,0.0
218,216,TEAM ZENO,EQT01-T00102,2920,54.1,16.2,99.3,0.00052,9.87
219,217,Darrel Danadyaksa Poli,EQT01-T00159,2918,54.0,42.9,99.9,0.0005,0.53
220,218,Rendi,EQT01-T00572,2915,54.0,42.9,100.0,0.0005,0.53
221,219,Artem Chuprina,EQT01-T00569,2913,53.9,43.2,100.0,0.0005,7.1
222,220,P Ff,EQT01-T00364,2911,53.9,37.5,100.0,0.00052,0.03
223,220,willowvisiblelight,EQT01-T00949,2911,53.9,62.2,100.0,0.00024,3.65
224,222,Zengxin Hong,EQT01-T00225,2910,53.9,39.0,99.9,0.00049,0.02
225,223,Tan Tk,EQT01-T00772,2909,53.9,44.9,100.0,0.00024,3.4
226,224,Alan Lu,EQT01-T00077,2908,53.8,39.7,100.0,0.00048,0.01
227,225,nemuneko,EQT01-T00213,2906,53.8,38.2,100.0,0.00044,0.04
228,226,Anuroop Keshav,EQT01-T00514,2905,53.8,38.2,100.0,0.0004,0.04
229,227,Zackary Tuzar,EQT01-T00636,2903,53.8,38.5,100.0,0.00045,0.0
230,228,Philip,EQT01-T00520,2902,53.7,39.0,100.0,0.00044,0.07
231,229,Aquila-Core,EQT01-T00003,2894,53.6,46.8,100.0,0.00031,6.5
232,229,Jiaxuan Zou,EQT01-T00218,2894,53.6,56.6,84.2,0.00109,8.8
233,229,Aaron Lin,EQT01-T00543,2894,53.6,39.5,99.9,0.00043,0.0
234,232,Gaël Heck,EQT01-T00244,2893,53.6,39.7,100.0,0.00049,0.0
235,233,David Andrews,EQT01-T00196,2892,53.6,39.4,100.0,0.00054,0.02
236,233,Jilin Yu,EQT01-T00431,2892,53.6,37.0,100.0,0.00014,3.68
237,235,Mandel,EQT01-T00320,2889,53.5,30.6,99.8,0.00019,3.98
238,235,AVATAR,EQT01-T00899,2889,53.5,41.0,100.0,0.0004,2.81
239,237,Álvaro Fernández Ochoa,EQT01-T00197,2888,53.5,33.1,98.1,0.00039,1.83
240,237,Yuan Wang,EQT01-T00441,2888,53.5,39.7,99.9,0.00057,0.09
241,239,Shawn Crabtree,EQT01-T00315,2886,53.4,38.3,100.0,0.00045,0.0
242,240,Selin Tüncer,EQT01-T00420,2885,53.4,38.1,100.0,0.00055,1.82
243,240,Felipe Navarro,EQT01-T00664,2885,53.4,39.6,100.0,0.00053,0.01
244,240,Abhey Kalia,EQT01-T00853,2885,53.4,39.1,100.0,0.0004,0.14
245,243,Jason Mahaffey,EQT01-T00144,2884,53.4,36.4,99.7,0.00056,1.81
246,244,李博,EQT01-T00119,2882,53.4,35.4,99.7,0.00058,1.29
247,244,Bijectors,EQT01-T00879,2882,53.4,37.4,100.0,0.00063,3.48
248,246,David,EQT01-T00611,2880,53.3,38.7,100.0,0.00048,0.0
249,247,Jellyfish,EQT01-T00362,2879,53.3,45.0,100.0,0.00015,4.52
250,247,Simon Fortin,EQT01-T00623,2879,53.3,34.8,100.0,0.00082,8.31
251,249,Master Yoda,EQT01-T00189,2878,53.3,36.6,99.9,0.00052,0.26
252,250,Md Athar Jawaid,EQT01-T00299,2876,53.3,39.9,100.0,0.00055,0.04
253,251,Tom Chan,EQT01-T00512,2875,53.2,39.9,99.9,0.00037,3.7
254,251,Roy van Rijn,EQT01-T00861,2875,53.2,51.3,98.9,0.00059,9.85
255,253,autoni wei,EQT01-T00951,2873,53.2,46.0,100.0,0.00029,4.63
256,254,Sky Net,EQT01-T00449,2867,53.1,30.4,100.0,0.00032,0.22
257,255,GG,EQT01-T00149,2860,53.0,37.9,99.8,0.00031,3.06
258,256,Reanna Ishmael,EQT01-T00665,2858,52.9,34.3,100.0,0.00046,0.09
259,257,MagMax,EQT01-T00830,2854,52.8,46.4,96.5,0.00034,3.68
260,258,Leo la Roca,EQT01-T00252,2851,52.8,47.9,100.0,0.00037,4.4
261,259,ICTQ,EQT01-T00851,2850,52.8,21.3,100.0,0.00046,9.72
262,260,Aliyan Nadeem,EQT01-T00233,2849,52.8,55.7,97.3,0.00053,10.0
263,261,Kevin Ndayishimiye,EQT01-T00222,2844,52.7,40.2,99.9,0.00047,0.13
264,262,Bill He,EQT01-T00522,2842,52.6,31.0,100.0,0.00026,8.07
265,263,Ali Iqbal,EQT01-T00426,2829,52.4,39.2,99.9,0.00047,0.0
266,264,zkdmt,EQT01-T00844,2820,52.2,51.8,100.0,0.00041,6.74
267,265,Patrick Drake,EQT01-T00681,2814,52.1,20.7,100.0,0.00038,1.57
268,266,yulai miao,EQT01-T00950,2813,52.1,15.3,99.2,0.00053,7.72
269,267,Elakiyah Raman Suresh,EQT01-T00776,2808,52.0,25.6,100.0,0.00015,5.94
270,268,rndsrc,EQT01-T00919,2803,51.9,14.4,99.2,0.00047,9.6
271,269,HEU Math,EQT01-T00071,2801,51.9,27.7,99.9,0.00018,3.38
272,270,Eva 00,EQT01-T00598,2800,51.8,27.1,100.0,0.00039,9.06
273,271,Matt Ficarra,EQT01-T00345,2793,51.7,23.5,99.6,0.00043,7.47
274,272,Avery Carr,EQT01-T00331,2791,51.7,41.4,99.3,0.00078,9.99
275,273,shem losdoc,EQT01-T00386,2785,51.6,12.0,99.9,0.00022,2.75
276,274,AscendFoam,EQT01-T00153,2784,51.6,31.3,100.0,9e-05,3.91
277,275,bhowconda,EQT01-T00937,2781,51.5,45.6,99.5,0.00055,8.16
278,276,灵素 林,EQT01-T00807,2770,51.3,15.9,100.0,0.0002,1.57
279,277,Christophe Tallet,EQT01-T00775,2767,51.2,55.6,100.0,0.00013,1.06
280,278,The Challengers,EQT01-T00002,2761,51.1,54.5,100.0,0.00033,3.04
281,279,liuyong,EQT01-T00920,2760,51.1,36.5,100.0,0.00015,5.28
282,280,Antonije Mirkovic,EQT01-T00350,2758,51.1,54.3,100.0,0.00019,1.69
283,280,SimonRJ,EQT01-T00704,2758,51.1,11.8,99.2,0.00012,1.95
284,282,faaaaaaaah,EQT01-T00813,2751,50.9,47.6,98.4,0.00054,7.43
285,283,NewUU,EQT01-T00476,2739,50.7,52.2,100.0,0.00018,2.11
286,284,Yordan Radev,EQT01-T00660,2734,50.6,45.4,100.0,0.00048,1.24
287,284,Samuel Berton,EQT01-T00777,2734,50.6,35.7,98.2,0.00026,4.05
288,286,Barry Tng,EQT01-T00798,2721,50.4,29.3,100.0,0.00022,0.82
289,287,Garbid,EQT01-T00357,2720,50.4,46.8,99.6,0.00019,3.16
290,288,Lothar Schiemanowski,EQT01-T00266,2719,50.3,48.5,98.9,0.00037,6.37
291,289,BrokenKeyboard,EQT01-T00656,2718,50.3,63.0,100.0,0.0002,0.03
292,290,Zheng Yang Tee,EQT01-T00622,2717,50.3,35.0,100.0,0.00042,2.94
293,291,Harutyun Harry Ilanyan,EQT01-T00814,2711,50.2,56.5,99.1,0.00046,3.97
294,292,Sulking Pika,EQT01-T00483,2709,50.2,40.6,96.9,0.0006,6.27
295,293,Dixing Xu,EQT01-T00316,2707,50.1,58.4,99.9,0.00039,6.8
296,294,Adam Betka,EQT01-T00098,2700,50.0,36.3,99.6,0.00043,8.27
297,295,Тимур Кенжаев,EQT01-T00017,2679,49.6,14.7,94.2,0.00022,0.16
298,296,le lenton,EQT01-T00081,2664,49.3,6.9,100.0,5e-05,0.85
299,297,Aditya Shankar Garg,EQT01-T00917,2614,48.4,60.4,80.1,0.0007,9.56
300,298,파차 dada,EQT01-T00358,2557,47.3,17.8,100.0,0.00024,0.91
301,299,Thuý Ngân Phạm,EQT01-T00351,2537,47.0,51.9,87.8,0.0007,5.98
302,300,Zer00logy,EQT01-T00794,2535,46.9,39.2,99.1,0.00052,9.65
303,301,NoCheating,EQT01-T00014,2490,46.1,6.4,91.8,0.00033,1.96
304,302,wenjie jin,EQT01-T00063,2461,45.6,26.2,99.9,0.00017,0.82
305,303,GEPA,EQT01-T00321,2276,42.1,17.7,82.0,0.00013,2.68
306,304,Hrushikesh Pawar,EQT01-T00490,2269,42.0,37.2,100.0,0.00044,9.43
307,305,3Sail1Moon,EQT01-T00629,2228,41.3,36.4,89.0,0.00032,3.51
